                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.58793,                 1.2706,                 1.0776,                0.57512,                  4.039,                 1.0528,                0.00333,                      1,                0.78456,                0.66398,                0.53498,                 2.9431,                 1.1891,                0.46547,                 9.8882,                 1.1338,             0.00029302,             0.00029302,             0.00029302
                     13,                0.61036,                 1.2657,                 1.1342,                0.57679,                 4.4255,                 1.0694,                0.00333,                      1,                0.71222,                0.60645,                0.51686,                 2.9474,                 1.1455,                0.44816,                 9.8772,                 1.0862,               0.000302,               0.000302,               0.000302
                     14,                0.54616,                 1.2832,                 1.0311,                0.47899,                 4.5988,                0.98617,                0.00333,                      1,                0.70443,                0.59387,                0.54681,                 2.9407,                 1.1719,                 0.4516,                 9.8744,                 1.0964,             0.00030834,             0.00030834,             0.00030834
                     15,                0.54495,                 1.1799,                 1.0559,                0.54889,                 4.5366,                 1.0535,                0.00333,                      1,                0.72233,                0.60673,                0.54386,                 2.9057,                 1.1578,                0.45536,                  9.871,                 1.0941,             0.00031204,             0.00031204,             0.00031204
                     16,                0.57814,                 1.1759,                 1.0789,                0.59276,                 4.2848,                 1.0518,                0.00333,                      1,                 0.7087,                0.59097,                0.57415,                 2.8936,                 1.1805,                0.52297,                 9.9214,                 1.2509,              0.0003131,              0.0003131,              0.0003131
                     17,                0.59615,                 1.3153,                 1.1578,                 0.5202,                 5.5314,                 1.1089,                0.00333,                      1,                0.73192,                0.60024,                0.60139,                 2.8387,                 1.2071,                0.56368,                 9.9514,                 1.2663,             0.00031152,             0.00031152,             0.00031152
                     18,                0.59738,                  1.201,                 1.0561,                0.59356,                 4.6934,                 1.0277,                0.00333,                      1,                0.72823,                0.62814,                0.54671,                 2.7853,                 1.1302,                0.52671,                 9.8642,                 1.1712,              0.0003073,              0.0003073,              0.0003073
                     19,                 0.5783,                 1.1062,                 1.0358,                0.54516,                 4.2642,                0.97521,                0.00333,                      1,                0.73641,                0.63999,                0.53079,                 2.7489,                 1.1247,                0.48191,                 9.7977,                 1.0723,             0.00030044,             0.00030044,             0.00030044
                     20,                0.59354,                 1.1468,                  1.074,                0.60316,                 4.2561,                 1.0492,                0.00333,                      1,                0.74682,                0.64793,                0.55097,                 2.7154,                  1.187,                0.45746,                 9.7493,                 1.0881,             0.00029094,             0.00029094,             0.00029094
                     21,                0.42198,                 1.4217,                0.90806,                0.38334,                 8.1191,                0.87613,                0.00333,                      1,                 0.8019,                0.70433,                0.54052,                  2.669,                  1.185,                0.48333,                 9.7281,                 1.0944,              0.0002788,              0.0002788,              0.0002788
                     22,                0.37886,                 1.3835,                0.96456,                0.41039,                 8.1386,                0.97953,                0.00333,                      1,                0.80531,                 0.7126,                0.54237,                 2.6077,                 1.2255,                0.46792,                 9.6686,                 1.1008,             0.00026402,             0.00026402,             0.00026402
                     23,                0.41667,                 1.3712,                0.97076,                0.42366,                 8.0773,                0.97634,                0.00333,                      1,                0.77877,                0.68968,                0.54952,                 2.6143,                 1.2244,                0.46032,                 9.6137,                 1.0861,              0.0002466,              0.0002466,              0.0002466
                     24,                0.42627,                 1.3768,                0.98753,                0.43285,                 8.0022,                 0.9637,                0.17362,                      1,                0.76714,                0.67708,                0.56515,                 2.6184,                 1.2231,                0.46273,                 9.5991,                  1.084,             0.00022654,             0.00022654,             0.00022654
                     25,                0.36298,                 1.3451,                0.91694,                 0.3991,                 7.9366,                0.93209,                0.57931,                 0.7971,                0.73787,                 0.6489,                0.55276,                 2.5974,                 1.1865,                 0.4624,                 9.5492,                 1.1042,             0.00020384,             0.00020384,             0.00020384
                     26,                0.39596,                 1.3718,                0.95881,                0.42653,                 7.8349,                 0.9492,                0.80641,                0.37681,                0.73229,                0.63928,                0.53583,                 2.5927,                 1.1643,                0.45607,                 9.5015,                  1.126,              0.0001785,              0.0001785,              0.0001785
                     27,                0.37941,                  1.313,                0.91143,                0.39966,                 7.8968,                0.92618,                0.83033,                0.28386,                0.75477,                0.65447,                0.53657,                 2.5655,                 1.1693,                0.48253,                 9.4768,                 1.1144,             0.00015052,             0.00015052,             0.00015052
                     28,                0.38541,                 1.3303,                0.96117,                0.45618,                 7.8768,                 1.0086,                0.83033,                0.28386,                0.75477,                0.65447,                0.53657,                 2.5655,                 1.1693,                0.48253,                 9.4768,                 1.1144,              0.0001199,              0.0001199,              0.0001199
                     29,                0.34707,                 1.3205,                0.92223,                 0.3738,                 7.7638,                0.91723,                0.85102,                0.24845,                0.76403,                0.65985,                0.53912,                 2.5401,                 1.1678,                0.49495,                 9.4364,                 1.1002,              8.664e-05,              8.664e-05,              8.664e-05
                     30,                0.37057,                 1.3278,                0.93626,                0.39573,                 7.7905,                0.95537,                0.86292,                0.27376,                0.77299,                0.68261,                 0.5394,                 2.4944,                 1.1611,                0.48073,                 9.3662,                 1.0872,              5.074e-05,              5.074e-05,              5.074e-05
