                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87199,                 2.9374,                  1.411,                0.71986,                 6.1753,                 1.3361,                0.00329,                0.98551,                0.01515,                0.00375,                 1.2545,                 3.5861,                 2.1121,                0.90279,                 10.602,                 2.0704,                  2e-05,                  2e-05,                  2e-05
                      2,                0.75427,                 2.8192,                 1.2993,                0.64406,                 6.2103,                 1.2608,                0.00333,                      1,                0.05225,                0.02969,                0.69907,                 3.2115,                 1.3814,                0.57979,                 10.194,                 1.4283,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                0.61068,                 2.7318,                 1.1767,                0.57823,                 6.3921,                 1.1351,                0.00333,                      1,                0.50225,                0.43797,                 0.5621,                  3.053,                 1.1774,                0.48956,                 10.052,                 1.1734,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                0.59364,                 2.5763,                 1.1344,                0.49941,                  6.109,                 1.0901,                0.00333,                      1,                0.58585,                0.51905,                0.49517,                 3.0301,                 1.1382,                 0.3953,                 9.9368,                  1.168,             0.00012614,             0.00012614,             0.00012614
                      5,                0.67649,                 2.2768,                 1.1067,                0.63615,                 5.1914,                 1.1005,                0.00333,                      1,                0.70116,                 0.6298,                0.45647,                 3.0219,                  1.107,                0.39682,                 9.9219,                 1.1266,             0.00015624,             0.00015624,             0.00015624
                      6,                0.58029,                 1.9853,                 1.0669,                0.51798,                 4.8832,                 1.0226,                0.00333,                      1,                0.72911,                0.64667,                0.47594,                 2.9985,                 1.0938,                0.43898,                 9.9415,                 1.1233,              0.0001837,              0.0001837,              0.0001837
                      7,                 0.5391,                 1.8446,                 1.0497,                0.49693,                 4.4984,                 1.0122,                0.00333,                      1,                0.72444,                0.63481,                 0.5196,                  2.972,                 1.1219,                0.41875,                 9.8745,                 1.1605,             0.00020852,             0.00020852,             0.00020852
                      8,                0.56586,                 1.6271,                 1.0932,                0.55166,                 4.6452,                 1.0384,                0.00333,                      1,                0.72405,                0.61708,                0.56389,                 2.9766,                 1.1687,                0.43754,                 9.8807,                 1.0658,              0.0002307,              0.0002307,              0.0002307
                      9,                0.42826,                 1.3721,                0.97673,                0.44032,                 4.6718,                0.94885,                0.00333,                      1,                0.76579,                0.65142,                0.57303,                 2.9751,                 1.1933,                0.46026,                  9.887,                 1.0589,             0.00025024,             0.00025024,             0.00025024
                     10,                0.56587,                 1.4178,                   1.07,                0.61685,                 5.1374,                 1.0717,                0.00333,                      1,                0.78618,                0.66995,                0.59806,                 2.9381,                 1.2416,                 0.4542,                 9.8648,                 1.1436,             0.00026714,             0.00026714,             0.00026714
                     11,                 0.5194,                 1.3438,                  1.021,                0.52197,                 4.8693,                 1.0084,                0.00333,                      1,                0.78118,                0.66722,                0.55553,                 2.9312,                 1.2116,                0.48349,                 9.8985,                 1.1792,              0.0002814,              0.0002814,              0.0002814
