                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0277,                 3.9544,                 4.2539,                0.00334,                0.98824,                0.01143,                 0.0034,                 2.6161,                 3.8456,                 4.1589,                      0,                      0,                      0
                      2,                 3.0732,                 3.7468,                 4.1969,                0.00334,                0.98824,                 0.0141,                0.00379,                 2.6162,                 3.8461,                 4.1589,               1.34e-05,               1.34e-05,               1.34e-05
                      3,                 2.8304,                 3.6968,                 4.1893,                0.00331,                0.98824,                0.01152,                 0.0037,                 2.6164,                 3.8466,                 4.1589,               1.36e-05,               1.36e-05,               1.36e-05
